Unnamed: 0,CVEGEO,water_availability,economic_output,n_industy,distance_ciit,dist_to_border_km,dist_min_ports,highways,dist_min_km,gen_min_km,rails,pv_mean_annual_kwh,wind_mean,rainfall,crime,idx_resources,idx_energy,idx_logistics,idx_market,idx_security,RELMS_index,RELM_index,rank
1461,20328,0.3932202598211434,0.2985047760119125,0.6262688870117397,0.5125279500463137,0.5746995580534076,0.3210336867235092,0.0,0.2897069101722335,0.3639793054190557,0.0,0.7394702945768723,0.2944412982286439,0.7606458862803938,1.0,0.5469444347267634,0.3268431077956446,0.2816522389646461,0.4623868315118261,1.0,0.4714115738872485,0.39061624528834243,1083
591,14070,0.0,0.8589922649783992,0.7450367585087097,0.2082485886999184,0.3562789669248414,0.2699253410010263,1.0,0.5474891633966904,0.5475865137901995,1.0,0.8762484365103635,0.4971979041908869,0.0,0.2723048368156867,0.3433615851753126,0.547537838593445,0.5668905793251572,0.8020145117435544,0.2723048368156867,0.4713901821046556,0.5407067949737894,1084
597,14064,0.0,0.353209978260991,0.5329919041265682,0.2246274241521845,0.5180306706511671,0.142077599228138,1.0,0.5175910193924634,0.3369140498029793,0.0,0.8831958069801258,0.5128867380119161,0.7606458862803938,0.6046625485289482,0.5391821078181089,0.4272525345977214,0.37694713880629793,0.4431009411937796,0.6046625485289482,0.4713497302341595,0.44289503426692073,1085
1563,20012,0.2820211445059131,0.247340701542117,0.5008827212289277,0.4854485051738888,0.5762225890705952,0.3297182282972829,1.0,0.1966354359698457,0.5246000352184292,0.0,0.483716828707792,0.066637246568372,0.9518127218666266,0.8079770209287339,0.4460469854121759,0.36061773559413746,0.47827786450835336,0.37411171138552235,0.8079770209287339,0.4713045767826411,0.41188627363290176,1086
42,5006,0.0,0.7079076144030084,0.5280299696028954,0.1646323012847502,0.8239197845120679,0.0657395700512792,1.0,0.3777394341680208,0.2217509477878791,1.0,0.6369952343200183,0.4288139518918086,0.7125442614903211,0.4615903972163024,0.44458836192553697,0.29974519097794994,0.6108583311696195,0.617968792002952,0.4615903972163024,0.4711669561255068,0.47359198057962004,1087
513,13011,0.2889724990448923,0.2362957984760904,0.4186476299168636,0.2886750495157099,0.5652728304678389,0.3350284392759036,1.0,0.5340838911745425,0.3650921610803241,0.0,0.3821102415222679,0.2782436787667584,0.9036320434281871,0.7771461144782232,0.4632396156905264,0.4495880261274333,0.4377952638518905,0.327471714196477,0.7771461144782232,0.47110052941090724,0.41568688279699717,1088
601,14060,0.0,0.2505086434429456,0.3881667417764709,0.2110790245307178,0.4353347868032187,0.2132183814250441,1.0,0.5072673529638747,0.3784824621402693,0.0,0.8862353074419518,0.466586111861469,0.7789425991309047,0.8275164340507248,0.5329410046085814,0.44287490755207204,0.37192643855179613,0.31933769260970823,0.8275164340507248,0.4710736526548014,0.40918232098871304,1089
315,10035,0.4863074710471081,0.3477650441582754,0.4283749501331661,0.1452229292245174,0.5910000061175646,0.2242833720831059,1.0,0.2853804337056224,0.3440584163658126,1.0,0.474598327322314,0.04053772026204,0.8212921674167302,0.7028614859709643,0.45568392151204806,0.3147194250357175,0.5921012614850376,0.38806999714572077,0.7028614859709643,0.4709259374390797,0.426062515468814,1090
526,13019,0.4519602008481309,0.2443149032230738,0.3530583330060873,0.2918159933566709,0.4746347400662474,0.2228272551908026,1.0,0.5588245896356424,0.4515647986678989,0.0,0.8019974570064938,0.3776450789663786,0.7390115964200016,0.6508295817171241,0.5926535833102512,0.5051946941517707,0.39785559772274415,0.2986866181145805,0.6508295817171241,0.470905370807575,0.4343104044275397,1091
393,12075,0.4036197980047128,0.4732977715621218,0.7716331677426977,0.3147443810954687,0.2744320719609439,0.2099646426564361,1.0,0.5209613946563862,0.3265073720960071,0.0,0.6287451024806507,0.1242175612186796,0.8212921674167302,0.4933655394239652,0.49446865728019335,0.4237343833761967,0.35982821914256974,0.6224654696524098,0.4933655394239652,0.47089312955521073,0.465436823127236,1092
