CVEGEO,local_I,p_sim,quadrant,cluster
11010,0.07327612288576385,0.398,LL,ns
11011,0.3003666344773571,0.122,HH,ns
11012,0.2720147414525713,0.216,HH,ns
11013,0.03463599567437167,0.099,LL,ns
11014,0.0060687492762786415,0.468,HH,ns
11015,0.1429068973037518,0.053,LL,ns
11016,-0.044253062560478444,0.33,LH,ns
11017,-0.1421532824726666,0.3,LH,ns
11018,0.20957641268320026,0.216,HH,ns
11019,-0.0018139802147165102,0.459,LH,ns
11020,-3.2841779057354543,0.035,LH,LH
11021,0.0386882911764413,0.28,HH,ns
11022,-0.01854276085418634,0.383,LH,ns
11023,0.15892837952028907,0.142,HH,ns
11024,-0.015001585406542478,0.391,LH,ns
11025,-0.29274873516253974,0.185,HL,ns
11026,-0.12352300766936504,0.098,HL,ns
11027,0.15469173963149996,0.14,HH,ns
11028,0.05021632970588144,0.184,HH,ns
11029,0.03592307736286241,0.451,HH,ns
11030,-0.06970806490227718,0.113,HL,ns
11031,-0.9606160206166737,0.034,HL,HL
11032,-0.016650070761236407,0.07,HL,ns
11033,0.02068399523079058,0.408,LL,ns
11034,0.6119122222858903,0.035,LL,LL
11035,0.2974560502345656,0.128,HH,ns
11036,-0.00607049194811139,0.468,LH,ns
11037,-0.9140328208808016,0.013,HL,HL
11038,0.05534023525963196,0.365,HH,ns
11039,0.020657184530741654,0.358,HH,ns
11040,0.2542452004006567,0.163,LL,ns
11041,0.11570350915417342,0.197,HH,ns
11042,0.07450638790662947,0.287,HH,ns
11043,0.5487954072926382,0.085,LL,ns
11044,0.5493835702354717,0.159,HH,ns
11045,1.47787072497925,0.025,LL,LL
11046,-0.029869447001771406,0.233,LH,ns
12001,0.3459488399640127,0.133,LL,ns
12002,-0.01937459626695599,0.374,LH,ns
12003,0.08925346755033227,0.26,LL,ns
12004,0.10655781121128409,0.175,LL,ns
12005,0.06716932322456666,0.082,LL,ns
12006,0.00531824722095832,0.463,HH,ns
12007,-0.0004525118135794522,0.342,HL,ns
12008,0.11879256662283148,0.248,LL,ns
12009,0.2728398702375831,0.078,LL,ns
12010,-0.016242508677032908,0.282,HL,ns
12011,0.29590456522985326,0.153,LL,ns
12012,0.11812930640746061,0.144,LL,ns
12013,0.0021292930750618473,0.496,HH,ns
12014,0.35738097449758865,0.083,LL,ns
12015,0.1147235089330449,0.27,HH,ns
12016,0.20989062985357895,0.125,LL,ns
12017,0.10396452068231796,0.396,HH,ns
12018,0.006206595501381745,0.38,LL,ns
12019,-0.012229106652618952,0.384,HL,ns
12020,0.19364359323293046,0.086,LL,ns
12021,0.1890551139387062,0.103,LL,ns
12022,0.39762939361994726,0.079,LL,ns
12023,-0.021952352156489805,0.311,HL,ns
12024,0.06928057154214955,0.33,LL,ns
12025,0.05964931348958494,0.115,LL,ns
12026,-0.03719572927717531,0.165,LH,ns
12027,-0.001850059006718737,0.473,LH,ns
12028,0.19634867909299064,0.176,HH,ns
12029,-0.01317662559791421,0.486,LH,ns
12030,0.040289443277971376,0.338,LL,ns
12031,-0.07564890509823508,0.458,LH,ns
12032,-0.07204577029366235,0.22,HL,ns
12033,0.13120303756529123,0.144,LL,ns
