CVEGEO,local_I,p_sim,quadrant,cluster
11015,2.4604741632042826,0.001,HH,HH
11016,-0.07430766063822922,0.095,LH,ns
11017,2.041022326478503,0.002,HH,HH
11018,1.360577200244307,0.003,HH,HH
11019,-0.01504889518550793,0.103,LH,ns
11020,2.977406237958647,0.001,HH,HH
11021,0.3147683401795124,0.141,HH,ns
11022,0.10917609937425862,0.08,HH,ns
11023,0.4896006887835627,0.105,HH,ns
11024,0.1449389669126805,0.004,HH,HH
11025,1.465839871029939,0.008,HH,HH
11026,0.7816622539899998,0.001,HH,HH
11027,2.8331623343648196,0.001,HH,HH
11028,0.619672940794759,0.024,HH,HH
11029,0.6294160976384889,0.026,HH,HH
11030,1.0963060873829853,0.001,HH,HH
11031,2.206156056872697,0.007,HH,HH
11032,0.615309254748181,0.04,HH,HH
11033,0.1801822870667655,0.038,HH,HH
11034,0.4676794310231764,0.05,LL,ns
11035,2.207134680942452,0.001,HH,HH
11036,-0.28259982155133473,0.169,LH,ns
11037,3.0580562303280567,0.004,HH,HH
11038,0.20143154045027928,0.122,HH,ns
11039,0.5267904750848426,0.008,HH,HH
11040,-0.061839251908974026,0.387,LH,ns
11041,0.4521624869954992,0.113,HH,ns
11042,0.8382744302136836,0.017,HH,HH
11043,0.189742739216904,0.252,LL,ns
11044,3.161409023025665,0.001,HH,HH
11045,1.2296911220044604,0.016,LL,LL
11046,0.19894216018419325,0.053,HH,ns
12001,-0.06318044277610382,0.441,HL,ns
12002,0.01892278703332426,0.443,LL,ns
12003,0.19348948026066723,0.228,LL,ns
12004,0.2542678915891184,0.089,LL,ns
12005,0.2559638279221781,0.054,LL,ns
12006,0.023974911198828962,0.35,LL,ns
12007,0.06376957889212272,0.211,LL,ns
12008,0.24341643637156235,0.191,LL,ns
12009,0.5753442134659752,0.065,LL,ns
12010,0.104145892428694,0.166,LL,ns
12011,0.23763525014157189,0.179,LL,ns
12012,0.12760458945355194,0.084,LL,ns
12013,-0.004942336213971643,0.451,LH,ns
12014,0.23482103981747574,0.21,LL,ns
12015,0.2664890024607682,0.089,HH,ns
12016,0.2635005670080721,0.205,LL,ns
12017,0.08945161217294002,0.248,HH,ns
12018,0.03165090958996666,0.36,LL,ns
12019,0.00912674240219379,0.175,LL,ns
12020,0.4113238503134941,0.037,LL,LL
12021,0.0020889751012250772,0.47,LL,ns
12022,0.34988205813944984,0.099,LL,ns
12023,-0.06304093020764852,0.161,HL,ns
12024,0.1808170483397818,0.282,LL,ns
12025,0.17266751679645848,0.121,LL,ns
12026,-0.1470216009767854,0.264,LH,ns
12027,0.059827036690450065,0.368,LL,ns
12028,-0.049369233452186634,0.403,HL,ns
12029,0.01571259642814517,0.277,HH,ns
12030,0.07685493069701614,0.245,LL,ns
12031,-0.038000043512153726,0.463,LH,ns
12032,-0.00846083075677205,0.335,HL,ns
12033,0.18523071176178915,0.119,LL,ns
12034,0.007610333376857285,0.339,HH,ns
12035,0.3508944423235986,0.173,HH,ns
12036,0.0015853853276936957,0.432,HH,ns
12037,-0.06622630096688145,0.307,LH,ns
12038,0.12135348857621497,0.092,LL,ns
12039,-0.024587037871941112,0.396,LH,ns
12040,0.06247888763324547,0.34,HH,ns
12041,1.1368859949981964,0.043,LL,LL
12042,0.04603346371970043,0.239,HH,ns
12043,0.28106801058711306,0.066,LL,ns
12044,-0.016096791828198384,0.325,LH,ns
12045,0.059333158997769614,0.148,LL,ns
12046,-0.12471662832928575,0.347,HL,ns
12047,-0.07142118197528227,0.375,LH,ns
12048,0.48379868736246134,0.173,LL,ns
12049,-0.003289939350577081,0.479,HL,ns
12050,-0.1930921800917854,0.154,HL,ns
12051,-0.029194804624733207,0.323,HL,ns
12052,-0.006241336190267077,0.01,HL,HL
12053,0.0022069202698476575,0.464,LL,ns
12054,0.28163218131263257,0.175,LL,ns
12055,0.06076989487585206,0.406,HH,ns
12056,0.06364853346820984,0.334,LL,ns
12057,0.4957123356705178,0.058,LL,ns
12058,-0.07987890806684397,0.334,HL,ns
12059,-0.027787781166636674,0.173,LH,ns
12060,-0.013228722451780457,0.43,LH,ns
12061,0.10083079663386489,0.246,HH,ns
12062,-0.011184677850393262,0.155,HL,ns
12063,0.8000658072278461,0.041,LL,LL
12064,0.017574232105157586,0.41,LL,ns
12065,0.4433483693569997,0.062,LL,ns
12066,0.027791287157480162,0.088,LL,ns
12067,-0.031292896988019035,0.371,HL,ns
12068,-0.07593677093523755,0.299,LH,ns
12069,0.20078680502548837,0.137,LL,ns
12070,0.15284849703330988,0.07,LL,ns
12071,0.049794624753677054,0.203,LL,ns
12072,0.4920284945797864,0.091,LL,ns
12073,0.3451057736801262,0.135,LL,ns
12074,0.04235070542110681,0.379,HH,ns
12075,0.04192232707902618,0.405,HH,ns
12076,0.33817435587247374,0.121,LL,ns
12077,0.021833467935999683,0.345,LL,ns
12078,0.18274859273140392,0.366,LL,ns
12079,-0.02114269482849452,0.41,LH,ns
12080,0.012220012001750229,0.493,LL,ns
12081,0.644393030810692,0.06,LL,ns
12082,0.09579419748384294,0.351,LL,ns
12083,0.6359377235754868,0.254,LL,ns
12084,0.8963831998450316,0.079,LL,ns
12085,0.2540435132034852,0.28,LL,ns
13001,-0.021030484264222316,0.387,LH,ns
13002,0.015645066864755156,0.387,HH,ns
13003,0.3353185528104577,0.087,HH,ns
13004,0.20389909990818386,0.215,LL,ns
13005,1.560259488202632,0.001,HH,HH
13006,0.11597449220737686,0.143,HH,ns
13007,0.2803224771123919,0.069,HH,ns
13008,0.6838070104517485,0.013,HH,HH
13009,0.13596444765136034,0.202,HH,ns
13010,2.6631387903759727,0.001,HH,HH
13011,-0.00023238263428489766,0.498,LH,ns
13012,-0.05800826870455317,0.307,HL,ns
13013,3.3143363984647487,0.001,HH,HH
13014,0.11630333238156206,0.069,LL,ns
13015,0.3490262053313483,0.08,LL,ns
13016,0.638519889694104,0.026,HH,HH
13017,0.38068266508290055,0.011,HH,HH
13018,0.40673177193191645,0.13,LL,ns
13019,0.11873564638903684,0.023,HH,HH
13020,1.270046750913735,0.023,LL,LL
13021,0.5191545453094915,0.013,HH,HH
13022,0.3357508426498248,0.032,HH,HH
13023,0.8370887471971764,0.041,HH,HH
13024,-0.04525149147034437,0.437,LH,ns
13025,0.0015202701954652885,0.452,HH,ns
13026,-0.08105139982654253,0.395,LH,ns
13027,0.42358907918675076,0.016,LL,LL
13028,-0.03864067770635578,0.448,HL,ns
13029,0.7157799351628862,0.02,HH,HH
13030,-0.00861072473797552,0.463,HL,ns
13031,0.6262162548320808,0.007,LL,LL
13032,0.33259018265481977,0.198,HH,ns
13033,1.705897979382024,0.025,LL,LL
13034,0.5383180415228735,0.185,LL,ns
13035,-0.11624937230951189,0.282,HL,ns
13036,0.0054249976392871406,0.498,LL,ns
13037,0.03845912658757612,0.305,LL,ns
13038,-0.22063841252302666,0.028,LH,LH
13039,0.3355239044944172,0.033,HH,HH
13040,1.1151346432797355,0.012,LL,LL
13041,0.9201079259016015,0.011,HH,HH
13042,0.4716702115875067,0.002,LL,LL
13043,0.5857933490847305,0.091,LL,ns
13044,0.3836769671858277,0.005,HH,HH
13045,-0.0022737754371336175,0.368,LH,ns
13046,0.04474272753997485,0.372,HH,ns
13047,0.49227025069925223,0.114,LL,ns
13048,1.660115498051769,0.013,HH,HH
13049,0.3232764856743104,0.09,LL,ns
13050,0.5790575720055677,0.142,HH,ns
13051,1.8380811604739096,0.026,HH,HH
13052,0.8596819900326402,0.009,HH,HH
13053,0.3813374384148003,0.099,LL,ns
13054,0.35728892718065763,0.011,HH,HH
13055,0.11284432198687643,0.364,HH,ns
13056,0.7631072625944493,0.059,HH,ns
13057,0.35930540271835504,0.041,HH,HH
13058,-0.01197675540953925,0.29,LH,ns
13059,0.11937810105021551,0.226,HH,ns
13060,0.400065134126607,0.102,LL,ns
13061,1.0637828371968918,0.019,HH,HH
13062,0.7959944597772424,0.016,LL,LL
13063,1.9152612509077038,0.001,HH,HH
13064,0.47228386761300406,0.034,HH,HH
13065,0.8256960836644118,0.001,HH,HH
13066,1.4299049819196776,0.006,HH,HH
13067,0.9462847007537252,0.008,HH,HH
13068,0.2634070550828649,0.207,LL,ns
13069,2.0296682463090607,0.001,HH,HH
13070,0.6718816200837138,0.011,HH,HH
13071,1.8314391410647455,0.01,LL,LL
13072,0.658424030061423,0.014,HH,HH
13073,0.02340692180840983,0.367,LL,ns
13074,1.7996670225693225,0.005,HH,HH
13075,1.2912188879389594,0.004,HH,HH
13076,2.1072451458494568,0.001,HH,HH
13077,0.5685043053998852,0.104,HH,ns
13078,0.1496592785814106,0.144,LL,ns
13079,0.37761496363123376,0.133,LL,ns
13080,-0.09802375180841265,0.099,HL,ns
13081,-0.18620741482354006,0.044,HL,HL
13082,1.50969219948946,0.002,HH,HH
13083,1.1155501034400415,0.001,HH,HH
13084,0.026104778227697186,0.227,LL,ns
14001,-0.01921730133146031,0.449,LH,ns
14002,0.9590059477772414,0.014,HH,HH
14003,0.3091353851602171,0.088,HH,ns
14004,-0.031030262765388426,0.417,LH,ns
14005,0.48496980814686824,0.076,HH,ns
14006,-0.10116597453290115,0.345,HL,ns
14007,0.22767255700555292,0.125,HH,ns
14008,0.2250723298215759,0.045,HH,HH
14009,0.3164860967045064,0.031,HH,HH
14010,0.03147824148088588,0.393,LL,ns
14011,0.49002103794547563,0.063,LL,ns
14012,0.22869388357339981,0.181,LL,ns
14013,0.5169766942899654,0.024,HH,HH
14014,0.07435904765467036,0.305,HH,ns
14015,-0.014661223979500222,0.043,HL,HL
14016,0.318108492151067,0.033,HH,HH
14017,0.38060388230221714,0.084,LL,ns
14018,1.0995497082363794,0.011,HH,HH
14019,0.9065507779771381,0.008,LL,LL
14020,-0.0077950098497285725,0.478,LH,ns
14021,-0.048793570051372956,0.143,HL,ns
