CVEGEO,dist_min_km,gen_min_km
13047,35.41406421578232,62.32038626725766
13078,33.12448329495053,57.66154625491799
13063,15.825251540161307,19.89901291514635
13017,26.754054647644836,30.72687826175833
13083,33.552016229180474,18.728712820251005
13072,40.76290725789883,31.297824490846725
13067,13.032097862392389,13.320687044183469
13026,17.32287153407673,42.033267476673196
13062,44.53922714366179,22.767689633371106
13044,39.563538673283006,36.06922002006764
13016,29.846214947486466,48.33561924550389
13015,41.30086161999678,30.608101230621635
13014,29.117668501375274,41.49013237894149
13068,41.74806426595865,31.000940685607535
13084,49.91867589857734,64.81545059141715
13081,41.36048835953597,19.73528836093143
13043,59.71762663129484,47.72757449485815
13066,20.48071618810924,20.11502671451205
13013,3.747007205498579,10.38069757635519
13025,19.958717364702757,60.528176221172025
13048,23.48524684061618,5.510813591212519
13038,11.532448325865227,15.61063141612574
13052,29.560579426638334,21.571439402393295
13037,34.753769917989686,5.314614937186005
13036,27.263402557068236,18.166341761545294
13053,53.132858939033554,61.15137684849796
13012,8.11248592359854,27.518831310483186
13011,12.878912660387158,50.39371581277161
13010,7.093366530079252,5.132012139318035
13009,24.022439322265626,21.466697711613687
13008,44.4826632569112,45.423034614275295
13007,31.940339155481908,40.319414420738696
13006,28.69659065492617,40.77458649599903
13054,16.14998579265888,35.56315220393343
13055,28.33538151061426,29.880085415127283
13080,24.354755376236174,53.5130278816758
13079,44.483377115523744,26.107611017869957
13035,33.357877054521325,45.02141048472965
13073,27.203975813289034,28.908831084400582
13034,37.67635186692458,33.62904130079082
13019,11.090607408860116,29.187042486563275
13077,36.86013453177547,40.11090000751618
13051,25.40747698955257,2.9980667846640303
13082,22.280891954645533,16.13158294551875
13064,16.56779697332901,19.94750433213499
13024,13.893839920402463,25.34226271771534
13041,2.51032055745228,20.33152904277732
13060,47.45508920354739,61.534616610534535
13059,56.32845615724837,40.14410610724218
13032,12.268678578870635,29.10103552914683
13058,38.077114653568096,54.30653516358718
13057,36.881443251554025,26.94140490082514
13050,7.734408012627206,29.638755934040258
13056,39.11183651592756,35.888305276452584
13042,48.33321266373676,30.283101984383627
13040,57.9236187781684,36.55947914502624
13069,3.294989290509874,27.825815157654088
13039,15.679689356025673,10.039730517616663
13033,55.407511415526336,27.62311849031545
14018,34.326502210294464,11.105301034814532
14097,18.56129028773081,10.556608146212579
14114,47.653836692080155,31.243372903480434
14113,51.28928204864695,70.76716562724569
14112,17.914198089507927,68.62783806343326
14111,40.8652272910807,40.74003963348387
14110,99.11480451692695,69.05218606435547
14109,19.188412112317234,33.56014144312207
14124,28.281729002534092,32.37571123329191
14065,38.14651354131937,125.30713494048803
14116,42.447032183465154,37.336921683526796
14117,27.5180072821933,41.99925420282024
14118,26.63315203300849,24.87464219460907
14119,49.71562185188809,15.148225974793307
14014,46.69011660724048,31.726434930970324
14015,82.04220853303646,44.69121853178332
14017,90.15915622913495,54.40761072309178
14043,122.3280777339473,23.595348674930957
14106,57.618363498387914,67.1167371743584
14107,28.633965795804528,24.66975801718353
14108,38.52833657051415,88.5929059952711
14115,89.69056353475405,55.10092140321997
14075,36.379510172640856,40.65366900370738
14077,63.525215764345184,46.921269948826684
14078,52.997511573083976,67.08668993740939
14074,30.666636443675998,52.27837791964818
14076,93.36374723461547,32.14199552997523
14069,26.092282725262674,66.0659370597612
14123,8.357447680047141,49.187056476473664
14122,29.97923245294928,90.47943884600025
14121,52.85832989005801,73.35882472539252
14120,26.328548024129514,15.072129666819603
14002,36.806349053104015,23.94493525556418
14003,64.5587376589964,20.074700397530513
14005,48.29857211397928,13.231175688824512
14055,49.51053834776042,19.880232477112713
14086,77.60166053885285,50.6542933123648
14098,4.224148621121562,4.288649923502048
14025,50.3165152229051,31.17299826650901
14027,64.37042003535234,34.778038726666246
14028,72.61001228875372,38.63049425710723
14101,11.049545813574788,15.607009775160956
14022,92.81506100119316,5.9906205467565785
14039,6.379607965553677,3.8593839250960285
14044,27.809670125109232,26.244913212214772
14051,24.110425882380838,28.704604518195513
14070,11.879405307682163,15.719071733578073
14125,38.111701052381136,54.18208984719791
14071,50.6859731669732,40.464320146174906
14068,106.33420855541021,36.72567068139692
14067,12.565707918301728,48.71171137685612
14066,13.105321964776506,43.69712170728893
14064,14.215681649592957,60.124201041084596
14063,17.81234518581986,29.27469981314178
14062,50.71225135311083,41.17344586174235
14061,113.80669806610642,53.405175755367694
14060,15.117186108284415,46.328831451183135
14059,11.817835041200382,56.76962257613449
14058,20.813279942776852,22.059727303619624
14057,9.507579661070622,44.24288734184306
14056,54.40839498713971,90.5247880105154
14054,76.27266417312931,68.81718559640841
14053,50.576543758826396,46.455465734453455
14052,94.83763665940572,67.86646058727497
14050,35.153004880639195,3.901148280627324
14031,93.10671055536758,42.994677365310174
14049,65.01628272280657,112.5221804720297
14048,46.367212993242745,33.974206651417255
14047,27.642467437446143,21.9511949891513
14046,41.98989902597176,62.44603702741695
14045,32.17544666377184,21.36708336380142
14042,95.85593296046055,71.28087056578755
14041,36.0085613411008,5.743665022039799
14040,42.09929823431858,31.619802248209538
14038,42.0763725172328,53.320041934049314
14037,78.27765191211799,58.22426537917602
14036,50.67037610182837,32.346173371180285
14035,66.93854256958079,35.539221235424954
14034,82.28151399634386,75.12274000993776
14033,55.11775888265267,19.25291902684767
14004,62.55567115369337,36.92202593555865
14019,105.97643543239174,26.205129680675988
14001,27.561425098672974,21.164900887540743
14006,70.37940280855616,43.92808821151225
14007,56.28162777251562,18.32197529448256
14008,53.24450667466129,53.2348969127051
14009,40.0271125719669,21.293683485879146
14072,17.243424897400732,39.60817728215544
14080,10.52653202587198,52.18626415299606
14081,35.12329616124285,19.132015525901245
14082,61.33028762412859,49.352820912504654
14083,37.53952897126017,25.607092892823566
14084,51.97221737813622,16.047847874256494
14085,37.20907590373408,70.61439588496161
14087,56.442375765502284,119.19448623050923
14088,83.23502586713701,61.76417961064081
14089,58.6805188613328,25.70712325695653
14094,72.23992314292745,27.325251705255766
14095,53.488843547152825,21.216764788517875
14096,15.108632098268528,41.53342458345071
14032,83.07921788580643,51.673202498435806
14030,30.44480076213745,25.42673089173499
14029,47.526206120057296,2.6452708379420695
14026,22.298895967431168,38.74249867005372
14024,58.132825720681566,42.62939488757249
14023,56.30320365789962,63.51605117984254
14021,86.94733648898485,22.115545089743776
14020,47.58001358335641,60.68889335248749
14016,46.9747195201375,22.618882647797477
14011,78.19006850570376,57.64382676683106
14013,26.11144923010291,30.89741611130948
14010,65.23744995263772,33.501840481060135
14012,56.922080312586196,28.845210606490117
14073,51.36763112703009,65.35612368206687
14079,43.725776994174375,46.92596961695865
14093,30.50538034101454,33.830803748645
14099,39.90638496821946,74.63703028103676
14100,85.5211712485941,56.56577281975114
14102,70.36977258781833,72.2197900290368
14103,29.052077761914294,94.3563598337015
14104,74.81314571164675,52.62050658521534
14105,4.404112509866928,41.56624144360502
14090,99.12519495465784,73.19348231579117
14091,33.007666358299865,49.79170718672046
14092,36.23961406537234,20.986337866676614
15116,19.345773979900212,62.3360030395509
15072,13.30069840250517,11.508103702245716
15003,28.311553426468993,33.19617721705267
15007,37.0756832919233,29.238785550832425
15094,24.123707505203388,32.17704441355338
15032,44.01735600701227,49.574945382010945
15081,12.88595539111023,11.471874854980586
15071,38.47549127093385,23.379382289006056
15070,20.45576165344737,6.234460823498553
15026,33.093795197252206,32.3764834788773
15061,27.213027643503878,29.88553363466923
15057,10.247372411172265,7.068957988024463
15120,10.066715514059563,16.674480575134222
15110,28.660997950322226,44.63758377169874
15030,17.90766633746768,13.185558334543838
15044,12.50947175995074,12.284480954259239
15093,30.90803608208859,26.047167489312137
15108,9.943168192648665,5.693591292469087
15111,40.462956740165076,45.677708509196925
15016,27.641926261613097,35.04392830327633
15112,28.15637197716141,19.332435417223387
15113,30.678046450133927,10.112453111791883
15123,27.324596740029843,78.80340359075683
