CVEGEO,economic_output
19007,22.724
19008,50.315
19009,90162.202
19010,16207.873
19011,23.496
19012,10537.576
19013,31.403
19014,477.057
19015,0.0
19016,749.207
19017,36.641
19018,96835.72
19019,23794.772
19020,45.43
19021,192816.241
19022,130.529
19023,0.0
19024,0.0
19025,60532.915
19026,187153.115
19027,1.321
19028,0.0
19029,54.112
19030,5.019
19031,9602.415
19032,146.26
19033,7148.113
19034,5186.283
19035,0.0
19036,3.616
19037,11.328
19038,8742.585
19039,221296.897
19040,0.0
19041,180601.549
19042,13.13
19043,0.0
19044,3668.012
19045,38011.763
19046,175666.574
19047,544.037
19048,147091.517
19049,1672.909
19050,0.0
19051,31.139
20001,1.657
20002,2278.023
20003,2.428
20004,2.625
20005,57.87
20006,82.243
20007,7.521
20008,1.744
20009,17.568
20010,5203.639
20011,0.0
20012,24.41
20013,36.003
20014,202.329
20015,5.001
20016,9.407
20017,5.857
20018,0.479
20019,2.864
20020,9.553
20021,777.979
20022,2.101
20023,39.97
20024,3.325
20025,97.93
20026,28.222
20027,27.758
20028,80.413
20029,1.276
20030,56.218
20031,7.547
20032,1.422
20033,329.242
20034,5.368
20035,0.0
20036,10.527
20037,4.368
20038,30.21
20039,317.049
20040,4.429
20041,110.553
20042,63.951
20043,927.882
20044,581.718
20045,1723.105
20046,3.154
20047,0.0
20049,0.963
20050,3.531
20051,124.928
20052,24.676
20053,10.542
20054,0.648
20055,16.715
20056,8.505
20057,120.791
20058,4.226
20059,192.118
20060,0.672
20061,3.775
20062,0.0
20063,18.74
20064,7.49
20065,0.888
20066,35.346
20067,1763.126
20068,191.436
20069,0.0
20070,51.0
20071,9.54
20072,16.528
20073,61.693
20074,0.0
20075,21.44
20076,8.501
20077,11.126
20078,8.463
20079,123107.776
20080,7.619
20081,1.973
20082,2.285
20083,64.503
20084,21.671
20085,7.439
20086,2.899
20087,102.29
20088,3.694
20089,2.743
20090,34.974
20091,17.989
20092,4.666
20093,0.0
20094,0.637
20095,9.061
20096,0.0
20097,1.819
20098,1.821
20099,0.0
20100,0.0
20101,5.647
20102,7.233
20103,77.23
20104,2.765
20105,3.619
20106,0.0
20107,266.682
