CVEGEO,distance_ciit
07115,420.6274169979695
07117,301.2081528017133
07118,273.3086578651012
07047,263.40916292848954
07092,209.89444430272812
07018,237.23759005323575
07059,416.1543289325506
07061,185.7401153701775
07064,316.9827560572968
07066,305.99494936611643
07071,332.98989873223417
07078,278.1837661840735
07032,328.8772003600258
07125,327.3502884254444
07035,398.21529547665085
07062,218.49242404917499
07037,361.61731573020387
07068,244.46298679765226
07074,254.7888886054572
07082,318.5807358037434
07083,308.08326112068517
07084,260.6639969244288
07089,377.9310242291887
07008,295.06601717798225
07009,138.0121933088197
07017,139.5269119345811
07116,469.4852813742385
07094,282.21320343559637
08037,2118.872508663641
08021,1708.3506473629536
08019,1836.345596729071
08001,2001.073518790429
08006,1867.009593653501
08052,1804.1719318127623
08020,1876.2278477229802
08041,1836.7963902179044
08055,1728.7059864222813
08032,1608.877559297535
08017,1837.7547596575616
08043,1882.4065632731715
08016,1664.53946418091
08023,2025.0217869623211
08059,1594.4044712321165
08015,1876.0958133670142
08049,1690.671498536876
08036,1547.4440097514043
08060,1576.605481358893
08007,1649.0196949212661
08008,1772.3750339805938
08051,1873.7080784633363
08067,1653.0196949212661
08062,1688.5516574897301
08061,1701.345596729071
08029,1673.9242404917604
08003,1587.723230364984
08014,1527.6105319927756
08018,1779.0979054080692
08054,1832.0857120992491
08058,1643.7942981768495
08002,1817.2501422995651
08065,1812.6298679765332
08063,1886.3182515186033
08022,1736.7009357883987
08066,1891.86745802977
08004,1773.19126779652
08009,1796.725322406039
08010,1990.3111088436658
08011,1653.2724368761506
08012,1744.8968952812927
08013,2052.389319330468
08053,2069.0196949212627
08057,1737.2989155348457
08044,1557.2501422995651
08031,1827.607573399948
08056,1651.1445866022946
08045,1733.3506473629536
08046,1760.3922779232964
08047,1926.5365055880825
08025,1939.4065632731715
08048,1908.3821766555313
08024,1767.7303730399215
08064,1636.8603153548324
08050,2068.9212818989295
08026,1774.8430714121298
08027,1736.073518790429
08028,2011.2501422995651
08030,1848.9141392239953
08033,1618.20346110534
08034,1980.1639225860522
08035,2134.673590577917
08038,1736.125250618537
08039,1557.125250618537
08040,1964.0167363284386
08042,1726.4196231337642
08005,2146.9801564019626
09005,564.4062043356618
09007,550.364573775319
09015,564.0924958366769
09017,558.0924958366769
09013,549.3940110268417
09003,559.1219330881996
09008,568.636651713961
09009,539.8376618407375
09010,569.5361466505727
09014,562.6072144624383
09011,542.0508652763341
09006,556.4356415871845
09002,570.5777772109155
09012,559.3229432149761
09004,576.1219330881996
09016,569.6782822743038
10009,1568.811542119552
10017,1550.7648609253267
10036,1434.3779925734214
10021,1315.6500705120634
10034,1589.591196009018
10024,1382.7038943812263
10012,1341.277487510033
10039,1415.3779925734214
10018,1463.6866504385237
10011,1449.5567081236127
10005,1358.19927702323
10010,1456.669406495821
10030,1387.6866504385237
10029,1364.9881656286884
10023,1382.3464632808436
10033,1263.3464632808436
10016,1286.743432900514
10003,1397.6622638208835
10004,1273.5079348883323
10006,1243.2236636408702
10025,1537.0958133670142
10008,1298.667314454766
10027,1209.5129855222149
10001,1391.0520907656164
10035,1544.9587283771657
10014,1285.8784258493076
10022,1275.0277041479762
10038,1256.601297276783
10037,1590.6744571297036
10019,1500.579002700198
10028,1355.8927111991827
10026,1461.0398974567963
10015,1335.7749621930918
10031,1235.3952365161242
10007,1361.407429824944
10020,1330.809450078497
10032,1487.4196231337642
10013,1433.5028842544498
10002,1568.9759723198683
11044,807.7981233214497
11017,853.8397538817925
11037,873.8519471906126
11010,729.8864350760178
11031,907.780879378747
11015,855.3372285648512
11034,740.9646455628209
11036,789.9869401394061
11030,877.2905473706259
11026,883.638743755016
11009,795.910821693658
11016,852.5138520739876
11024,845.7981233214497
11029,834.8052659963872
11011,796.4133470105993
11027,829.5260453828076
11025,922.1950929411202
11003,799.1950929411202
11004,759.4133470105993
11005,771.4549775709421
11043,766.4915574974024
11022,905.0184694319838
11014,830.1362184380747
11045,741.4915574974024
11001,863.9696961967035
11033,795.1484117468948
11006,719.3494218736713
11002,760.430590953302
11012,880.6976182580614
11013,770.1362184380747
11007,786.3839097590766
11019,741.0580079512716
11035,813.5971131946732
11018,805.0996385116144
11008,907.2539674441656
11041,805.3300858899137
11028,784.4722215136447
11040,744.5798692519705
11042,828.9280656363607
11039,770.6143571373758
11032,766.9230150024781
11023,887.17070632348
11038,734.3595231414364
11046,815.2295808265254
11021,812.6732316404212
11020,900.3077913133285
12021,550.4680374315353
12060,581.6417023478435
12063,420.43860018001243
12082,443.8284271247462
12024,433.04877323527916
12058,593.3868683519041
12010,446.6934341759515
12011,590.1665222413702
12012,442.84062043356585
12004,383.8944443027281
12068,781.232539419353
12043,379.71067811865464
12007,618.4163056034268
12057,635.480230740355
12066,418.76450198781697
12056,461.84062043356585
12001,505.1837661840735
12075,535.1198410471446
12055,567.84271247462
12006,586.9604614807109
