CVEGEO,water_availability,economic_output,n_industy,distance_ciit,dist_to_border_km,dist_min_ports,highways,dist_min_km,gen_min_km,rails,pv_mean_annual_kwh,wind_mean,rainfall,crime
7068,577.409318,55.683,126,244.4629868,316.6761902,100.195103,1,53.98490931,36.84701313,1,1351.959999,14.24121571,3500,15
7074,180.335309,33795.776,165,254.7888886,355.747258,63.30363848,1,19.0845883,60.56244378,0,1485.550063,87.50806427,2500,58
7082,577.409318,17.814,25,318.5807358,229.7401154,179.6509717,1,30.78848763,74.78489027,0,1574.975021,4.836079121,0,1
7083,697.527042,28.338,63,308.0832611,125.0832611,272.5575985,1,71.14493967,101.3524349,0,1638.484943,17.79350853,1200,5
7084,577.409318,14.016,27,260.6639969,293.5634919,118.0636839,1,60.85938845,15.40282261,0,1233.334981,4.909552574,4500,4
7089,38.479355,7155.371,1384,377.9310242,19.24264069,338.7271791,1,5.426385016,6.081715206,1,1099.745004,0.098172314,1500,272
7008,697.527042,37.675,222,295.0660172,96.50966799,272.966081,1,52.74833388,61.40910943,0,1373.130031,1.047537804,3500,4
7009,227.611227,1298.229,283,138.0121933,250.0487732,134.8126479,1,70.90947466,26.56723577,1,1505.625,18.3313179,2000,21
7017,227.611227,247.769,605,139.5269119,267.5878785,154.1682889,1,59.75941858,70.74442851,0,1388.09499,1.409208894,1500,11
7116,6.823576,14.945,28,469.4852814,249.9655121,356.8398794,1,161.9115282,219.6521962,0,1482.264953,11.69700623,3000,1
7094,143.591609,213.506,599,282.2132034,181.5391052,220.3711926,1,19.63235803,70.38061613,0,1473.139918,4.763395309,1200,10
8037,0,230889.474,2770,2118.872509,32.11269837,573.0011382,1,30.31575939,15.12546692,1,1884.130065,90.48136139,0,6929
8021,0,14324.182,614,1708.350647,202.7350647,450.2677908,1,22.23005998,6.15139609,1,1900.189946,69.73041534,300,1046
8019,0,171326.553,3099,1836.345597,202.4386002,468.5182557,1,39.03877682,39.71146101,1,1753.09499,28.28767776,400,4185
8001,0,310.647,44,2001.073519,138.3137085,520.4483092,1,134.7465099,98.79417138,1,1771.710033,50.94752121,300,49
8006,0,8.069,13,1867.009594,310.4091629,367.5308103,1,115.1531985,118.340591,0,1835.219955,40.93518829,500,16
8052,0,1934.219,91,1804.171932,26.55634919,611.1749675,1,165.610425,161.7598929,1,1685.934985,38.37965012,300,33
