CVEGEO,dist_min_ports
20098,147.633356987375
20101,184.28920445942242
20104,210.8516927971663
20413,117.41211852252329
20120,163.54094262601052
20121,218.259318009072
20015,158.65447582289187
20125,86.44988635510872
20124,21.831805355733017
20020,309.20409664395
20153,198.3148987872625
20141,77.85711223973992
20147,239.89093969823358
20150,219.3084090517103
20164,266.1669869686532
20204,86.13543928668665
20035,188.35008469501963
20202,205.54457425953632
20566,243.19479892099778
20217,235.542186710287
20016,311.31991862537865
20229,216.45728015090674
20232,131.5266584114352
20235,140.80295306346972
20236,130.05165730120086
20525,97.9431257861188
20526,213.3987096772739
20052,53.111128179397326
20290,263.6235268312517
20043,36.94167883163921
20079,3.9630894195165682
20207,109.53496483710411
20356,164.672039482087
20340,206.75747967653584
20218,258.8712487019992
20386,246.94580363179506
20179,207.75126957873022
20524,239.87454081470804
20264,207.53046413308192
20333,123.3423211183997
20198,98.63350959471875
20365,178.65250076465466
20002,93.4244179576652
20006,222.84497115180935
20008,61.40150721064429
20009,164.6903015164053
20010,70.71345525700255
20414,292.0809933983297
20291,170.54496293137157
20298,147.1628672881411
20385,190.4455913393104
20023,195.0121182503127
20306,137.56756483001956
20310,199.37984591897884
20309,123.60134962166198
20324,136.8634632355249
20337,137.89347241662986
20351,165.72031494921325
20562,241.9567575962397
20426,219.08070204857188
20427,80.56401733038635
20021,88.59495425212583
20175,190.7740736883029
20466,270.57838325633554
20468,171.90792743798545
20470,75.92276278399252
20479,236.88765398892346
20498,133.89698448011268
20133,284.8039419445399
20134,132.3419621759996
20138,160.0435479786885
20149,186.78035607989742
20161,222.07160891804236
20159,189.7849679581853
20047,210.1051882267061
20094,231.60717259416936
20031,130.6621074251562
20279,135.45043692660116
20401,187.8675213014873
20367,283.26907315535345
20359,204.1090393359318
20511,228.64461863184505
20096,226.380974790424
20504,196.54331150481238
20537,279.56717717364916
20543,250.62317447394355
20548,180.8285768863044
20076,289.91949306302763
20463,213.07800326772838
20436,190.31050841709606
20523,225.00035555771333
20054,231.3801672277735
20168,328.0191248530209
20185,321.3738424160438
20246,152.76586236637868
20277,202.71597310988145
20542,174.02600595514943
20357,88.07579876074605
20489,266.04090688334776
20490,141.04064454885594
20502,135.4587427453161
20163,143.23563856357043
20166,142.5151136803893
20237,247.50293284907846
20506,147.4986021610247
20508,51.35269006585798
20205,159.99378933021214
20271,198.24957538038618
20545,159.23752051558802
20546,171.99446678188175
20547,218.89808280513253
20186,269.86534151939003
20227,201.95343407257715
20261,246.6967352403618
20552,204.36510870670438
20550,171.8360986275864
20253,124.231166818797
20254,142.33210669480883
20272,235.92602311330015
20273,211.46480276012758
20275,109.1666185321883
20551,146.8538667863834
20553,183.10654167553557
20493,229.04079095357224
20554,148.34153351112747
20555,190.23586490371437
20018,192.6149488106932
20036,77.23810141479748
20338,204.95983608783226
20344,179.476356153389
20366,163.30823394322582
20377,272.67247939122626
20451,201.88792696340252
20404,216.802671135586
20407,121.95982530305515
20558,182.92066447709644
20561,146.6253853070943
20056,327.6102777684223
20563,173.96240653845828
20497,218.4704525676634
20549,255.70988283994396
20564,245.80258618455886
20099,292.9601394240532
20491,233.9432289985152
20379,281.906303445966
20494,212.10208156689131
20499,244.899539402204
20058,153.59275669729314
20569,238.48752251509833
20570,207.82118836752696
20567,286.47917697995297
20423,245.70874885094722
20528,275.1142870539039
20112,155.0383537396524
20510,261.79906335544274
20129,210.15186998826695
20371,268.5279431746815
20424,123.65599962647833
20406,119.60862131852817
20422,213.80264559443316
20450,253.6876153945578
20075,83.92660621614772
20501,282.012333414203
20505,67.42015301172721
20459,200.7583522918266
20477,223.38849727057212
20484,275.0918099766732
20485,350.1254775210696
20492,255.48347532004078
20495,110.93754914002173
20514,159.25302071732878
20534,176.59012100401955
20117,168.6822446806899
20512,119.68499319546984
20518,236.65132110380333
20206,159.9009280664213
