,CVEGEO,crime
1053,20037,1
1054,20038,0
1055,20039,203
1056,20040,1
1057,20041,7
1058,20042,2
1059,20043,118
1060,20044,41
1061,20045,10
1062,20046,0
1063,20047,0
1064,20048,0
1065,20049,0
1066,20050,0
1067,20051,3
1068,20052,12
1069,20053,0
1070,20054,1
1071,20055,3
1072,20056,0
1073,20057,39
1074,20058,0
1075,20059,91
1076,20060,0
1077,20061,2
1078,20062,0
1079,20063,4
1080,20064,4
1081,20065,1
1082,20066,5
1083,20067,1378
1084,20068,40
1085,20069,0
1086,20070,1
1087,20071,2
1088,20072,1
1089,20073,23
1090,20074,0
1091,20075,4
1092,20076,0
1093,20077,6
1094,20078,1
1095,20079,162
1096,20080,1
1097,20081,1
1098,20082,1
1099,20083,32
1100,20084,3
1101,20085,3
1102,20086,1
1103,20087,7
1104,20088,1
1105,20089,4
1106,20090,3
1107,20091,6
1108,20092,1
1109,20093,0
1110,20094,0
1111,20095,0
1112,20096,1
1113,20097,0
1114,20098,0
1115,20099,0
1116,20100,0
1117,20101,0
1118,20102,5
1119,20103,12
1120,20104,0
1121,20105,1
1122,20106,1
1123,20107,57
1124,20108,0
1125,20109,3
1126,20110,0
1127,20111,0
1128,20112,3
1129,20113,0
1130,20114,0
1131,20115,38
1132,20116,2
1133,20117,1
1134,20118,1
1135,20119,0
1136,20120,0
1137,20121,0
1138,20122,1
1139,20123,1
1140,20124,13
1141,20125,5
1142,20126,0
1143,20127,0
1144,20128,1
1145,20129,3
1146,20130,1
1147,20131,5
1148,20132,0
1149,20133,3
1150,20134,3
1151,20135,2
1152,20136,3
1153,20137,1
1154,20138,0
1155,20139,1
1156,20140,1
1157,20141,3
1158,20142,0
1159,20143,3
1160,20144,1
1161,20145,12
1162,20146,0
1163,20147,0
1164,20148,0
1165,20149,1
1166,20150,10
1167,20151,0
1168,20152,0
1169,20153,2
1170,20154,0
1171,20155,0
1172,20156,1
1173,20157,49
1174,20158,1
1175,20159,0
1176,20160,1
1177,20161,2
1178,20162,1
1179,20163,0
1180,20164,0
1181,20165,0
1182,20166,8
1183,20167,0
1184,20168,2
1185,20169,0
1186,20170,1
1187,20171,2
1188,20172,0
1189,20173,1
1190,20174,17
1191,20175,0
1192,20176,5
1193,20177,9
1194,20178,5
1195,20179,1
1196,20180,0
1197,20181,1
1198,20182,1
1199,20183,0
1200,20184,306
1201,20185,2
1202,20186,1
1203,20187,1
1204,20188,1
1205,20189,0
1206,20190,8
1207,20191,0
1208,20192,1
1209,20193,2
1210,20194,1
1211,20195,1
1212,20196,2
1213,20197,0
1214,20198,5
1215,20199,0
1216,20200,2
1217,20201,0
1218,20202,0
1219,20203,0
1220,20204,1
1221,20205,3
1222,20206,0
1223,20207,1
1224,20208,2
1225,20209,1
1226,20210,1
1227,20211,0
1228,20212,0
1229,20213,0
1230,20214,0
1231,20215,0
1232,20216,0
1233,20217,0
1234,20218,0
1235,20219,0
1236,20220,0
1237,20221,2
1238,20222,0
1239,20223,0
1240,20224,0
1241,20225,1
1242,20226,0
1243,20227,19
1244,20228,0
1245,20229,0
1246,20230,1
1247,20231,0
1248,20232,10
1249,20233,0
1250,20234,0
1251,20235,0
1252,20236,0
1253,20237,0
1254,20238,0
1255,20239,0
1256,20240,0
1257,20241,0
1258,20242,1
1259,20243,2
1260,20244,5
1261,20245,0
1262,20246,0
1263,20247,1
1264,20248,0
1265,20249,1
1266,20250,2
1267,20251,0
1268,20252,0
1269,20253,1
1270,20254,3
1271,20255,0
1272,20256,0
1273,20257,0
1274,20258,1
1275,20259,0
1276,20260,1
1277,20261,2
1278,20262,1
1279,20263,1
1280,20264,1
1281,20265,1
1282,20266,1
1283,20267,0
1284,20268,2
1285,20269,0
1286,20270,0
1287,20271,0
1288,20272,3
1289,20273,0
1290,20274,0
1291,20275,0
1292,20276,1
1293,20277,7
1294,20278,22
1295,20279,0
1296,20280,0
1297,20281,1
1298,20282,1
1299,20283,1
1300,20284,2
1301,20285,1
1302,20286,2
1303,20287,0
1304,20288,0
1305,20289,0
1306,20290,0
1307,20291,1
1308,20292,0
1309,20293,35
1310,20294,16
1311,20295,10
1312,20296,0
1313,20297,0
1314,20298,22
1315,20299,0
1316,20300,4
1317,20301,0
1318,20302,0
1319,20303,0
1320,20304,2
1321,20305,4
1322,20306,0
1323,20307,7
1324,20308,1
1325,20309,0
1326,20310,17
1327,20311,1
1328,20312,2
1329,20313,0
1330,20314,1
1331,20315,0
1332,20316,0
1333,20317,0
1334,20318,99
1335,20319,0
1336,20320,0
1337,20321,0
1338,20322,0
1339,20323,0
1340,20324,51
1341,20325,2
1342,20326,0
1343,20327,13
1344,20328,0
1345,20329,2
1346,20330,0
1347,20331,0
1348,20332,0
1349,20333,6
1350,20334,38
1351,20335,0
1352,20336,0
1353,20337,8
1354,20338,24
1355,20339,5
1356,20340,3
1357,20341,0
1358,20342,8
1359,20343,3
1360,20344,3
1361,20345,1
1362,20346,1
1363,20347,0
1364,20348,2
1365,20349,4
1366,20350,50
1367,20351,1
1368,20352,1
1369,20353,0
1370,20354,0
1371,20355,0
1372,20356,2
1373,20357,0
1374,20358,0
1375,20359,0
1376,20360,6
1377,20361,0
1378,20362,1
1379,20363,4
1380,20364,8
1381,20365,1
1382,20366,0
1383,20367,0
1384,20368,1
1385,20369,1
1386,20370,0
1387,20371,0
1388,20372,0
1389,20373,0
1390,20374,1
1391,20375,22
1392,20376,1
1393,20377,2
1394,20378,1
1395,20379,0
1396,20380,2
1397,20381,1
1398,20382,0
1399,20383,0
1400,20384,1
1401,20385,218
1402,20386,3
1403,20387,6
1404,20388,0
1405,20389,0
1406,20390,139
1407,20391,0
1408,20392,0
1409,20393,2
1410,20394,2
1411,20395,0
1412,20396,1
1413,20397,34
1414,20398,3
1415,20399,71
1416,20400,1
1417,20401,58
1418,20402,0
1419,20403,13
1420,20404,0
1421,20405,0
1422,20406,4
1423,20407,1
1424,20408,0
1425,20409,12
1426,20410,2
1427,20411,0
1428,20412,0
1429,20413,80
1430,20414,3
1431,20415,0
1432,20416,0
1433,20417,5
1434,20418,17
1435,20419,0
1436,20420,1
1437,20421,5
1438,20422,2
1439,20423,0
1440,20424,0
1441,20425,0
1442,20426,1
1443,20427,4
1444,20428,0
1445,20429,0
1446,20430,0
1447,20431,1
1448,20432,0
1449,20433,0
1450,20434,0
1451,20435,0
1452,20436,1
1453,20437,2
1454,20438,1
1455,20439,21
1456,20440,0
1457,20441,0
1458,20442,0
1459,20443,0
1460,20444,0
