CVEGEO,pv_mean_annual_kwh
19021,1535.554919242859
19003,1583.3699345588684
19042,1555.9950041770935
19018,1454.890022277832
19017,1583.004961013794
19016,1528.6200737953186
19011,1479.3449902534485
19044,1471.315050125122
19004,1417.2949624061584
19022,1582.275013923645
19024,1464.7450041770935
19039,1277.8649735450745
19012,1610.3800654411316
20155,1791.7849707603455
20481,1455.619969367981
20378,1783.3900570869446
20334,1624.615077972412
20437,1372.7649700641632
20441,1797.259922027588
20446,1340.6450355052948
20447,1628.2649874687195
20469,1529.714994430542
20440,1674.9850821495056
20513,1336.6299784183502
20278,1436.2749791145325
20457,1274.2149770259857
20482,1738.130030632019
20329,1807.4800515174866
20330,1366.5599846839905
20170,1730.465064048767
20230,1824.270052909851
20184,1449.4149839878082
20214,1328.6000382900238
20220,1405.6150257587433
20262,1577.165036201477
20266,1426.7849707603455
20265,1428.245038986206
20318,1719.150013923645
20327,1686.299958229065
20556,1829.380030632019
20005,1438.8299679756165
20517,1641.0399317741394
20565,1823.9050793647766
20503,1627.170066833496
20500,1692.8700041770935
20059,1638.8499164581299
20177,1551.979947090149
20364,1548.3300375938416
20057,1339.55002784729
20544,1577.165036201477
20410,1584.10005569458
20435,1477.5199484825134
20417,1381.8900048732758
20439,1676.4449763298035
20251,1830.839924812317
20467,1603.4450459480286
20559,1281.880030632019
20169,1494.309949874878
20118,1697.615008354187
20568,1816.9700598716736
20460,1244.6500313282013
20044,1457.8099846839905
20507,1790.3250765800476
20515,1451.2400257587433
20516,1677.905044555664
20051,1655.6399178504944
20041,1346.8500208854675
20042,1333.7100160121918
20071,1551.979947090149
20223,1466.935019493103
20190,1411.0899770259857
20097,1570.230016708374
20098,1403.7899839878082
20101,1815.509991645813
20104,1680.460033416748
20413,1577.5300097465515
20120,1603.810019493103
20121,1724.6249651908875
20015,1814.4150710105896
20125,1378.240008354187
20124,1773.169927597046
20020,1602.3499512672424
20153,1644.6900153160095
20141,1789.594955444336
20147,1803.464994430542
20150,1661.8449902534485
20164,1783.755030632019
20204,1748.7149596214294
20035,1709.660005569458
20202,1568.404974937439
20566,1627.5350403785706
20217,1749.445080757141
20016,1647.609977722168
20229,1713.6750626564026
20232,1442.845025062561
20235,1775.7249164581299
20236,1443.9400327205658
20525,1445.7649874687195
20526,1574.2450737953186
20052,1536.2850403785706
20290,1818.4299540519714
20043,1664.764952659607
20079,1784.8499512672424
20207,1367.2900187969208
20356,1793.974986076355
20340,1777.9149317741394
20218,1793.6100125312805
20386,1647.609977722168
20179,1509.6400570869446
20524,1771.3450598716736
20264,1758.9349150657654
20333,1749.079933166504
20198,1361.4500069618225
20365,1564.02494430542
20002,1427.8799784183502
20006,1765.504961013794
20008,1706.7400431632996
20009,1402.330002784729
20010,1430.0699937343597
20414,1766.2350821495056
20291,1574.9750208854675
20298,1648.705072402954
20385,1846.8999791145325
20023,1842.154974937439
20306,1485.1849150657654
20310,1826.0949206352234
20309,1386.2700355052948
20324,1613.30002784729
20337,1538.47505569458
20351,1797.9900431632996
20562,1698.344955444336
20426,1684.1099429130554
20427,1423.5000348091125
20021,1463.6500835418701
20175,1504.895052909851
20466,1665.860047340393
20468,1415.1050341129303
20470,1399.0449798107147
20479,1713.3099150657654
20498,1424.2299818992615
20133,1590.3049540519714
20134,1304.144983291626
20138,1505.9899735450745
20149,1727.910075187683
20161,1743.6049818992615
20159,1559.6449136734009
20047,1795.070080757141
20094,1734.8449206352234
20031,1437.7349603176117
20279,1537.7449345588684
20401,1717.6899456977844
20367,1733.75
20359,1620.235047340393
20511,1734.479947090149
20096,1797.625069618225
20504,1573.514952659607
20537,1697.615008354187
20543,1675.7150292396545
20548,1462.554988861084
20076,1575.7049679756165
20463,1684.1099429130554
20436,1624.249930381775
20523,1689.950041770935
20054,1869.1649317741394
20168,1776.820011138916
20185,1730.465064048767
20246,1626.4399456977844
20277,1618.410005569458
20542,1857.4850821495056
20357,1545.7750487327576
20489,1675.35005569458
20490,1534.095025062561
20502,1334.4399631023407
20163,1497.5950598716736
20166,1413.6449658870697
20237,1794.3399596214294
20506,1626.4399456977844
20508,1690.679988861084
20205,1357.8000104427338
20271,1739.589924812317
20545,1649.7999930381775
20546,1691.0449624061584
20547,1804.9250626564026
20186,1856.3899874687195
20227,1833.3949136734009
20261,1786.310019493103
20552,1613.30002784729
20550,1799.8150849342346
20253,1493.2150292396545
20254,1451.6049993038177
20272,1540.6650710105896
20273,1660.0199484825134
20275,1378.9700424671173
20551,1702.724986076355
20553,1686.299958229065
20493,1786.310019493103
20554,1281.880030632019
20555,1872.0850682258606
20018,1635.564980506897
20036,1326.0449624061584
20338,1818.064980506897
20344,1608.190050125122
20366,1563.294997215271
20377,1491.754961013794
