CVEGEO,water_availability
21027,23.352309
21026,18.017454
21015,0.0
21014,13.283498
21010,30.778398
21149,25.324552
21004,0.0
21005,36.495821
21006,13.283498
21008,0.0
21146,34.070832
21145,30.778398
21003,2.254951
21117,0.0
21165,36.495821
21163,0.0
21113,34.070832
21009,34.070832
21039,13.283498
21040,34.070832
21041,18.017454
21016,13.283498
21087,5.409428
21167,13.283498
21166,36.495821
21018,1.73708
21054,0.0
21127,1.73708
21129,23.352309
21130,0.0
21213,13.283498
21124,25.324552
21169,34.070832
21172,13.283498
21179,0.0
21202,13.283498
21203,34.070832
21042,34.070832
21043,13.283498
21217,30.778398
21101,13.283498
21100,0.0
21099,30.778398
21098,34.070832
21096,0.0
21094,12.318401
21093,0.0
21092,34.070832
21012,0.0
21013,25.324552
21007,34.070832
21011,9.344285
21022,0.527376
21025,13.283498
21037,34.070832
21035,23.352309
21033,0.527376
21032,5.409428
21031,34.070832
21029,13.283498
21045,0.0
21046,30.778398
21002,75.816902
21212,0.0
21199,0.0
21205,0.0
21201,34.070832
21197,1.453705
21195,30.778398
21186,0.0
21185,36.495821
21184,13.283498
21158,13.283498
21104,0.0
21123,13.283498
21128,12.318401
21126,18.017454
21161,25.324552
21079,0.0
21194,1.453705
21190,1.73708
21189,0.0
21188,0.527376
21187,12.840719
21177,34.070832
21156,25.324552
21155,9.344285
21154,0.0
21153,34.070832
21118,0.0
21119,18.017454
21120,25.324552
21125,18.017454
21105,0.0
21175,36.495821
21085,34.070832
21164,0.0
21198,34.070832
21133,36.495821
21174,13.283498
21176,36.495821
21178,1.453705
21134,18.017454
21135,2.254951
21208,0.0
21207,13.283498
21180,18.017454
21137,0.0
21001,0.0
21138,36.495821
21139,34.070832
21196,34.070832
21140,18.017454
21116,0.0
21141,2.254951
21170,0.0
21052,34.070832
21168,0.527376
21143,18.017454
21142,0.0
21023,30.778398
21115,0.0
21114,34.070832
21108,12.318401
21112,2.254951
21147,34.070832
21204,13.283498
21097,0.0
21148,36.495821
21200,13.283498
